make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08,highway08,city08,comb08
Mercedes-Benz,SLK230 Kompressor,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,14.98227272727273,2150,27,20,22
Mercedes-Benz,SLK230 Kompressor,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,14.98227272727273,2150,28,19,22
Plymouth,Prowler,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,18.311666666666667,2600,21,15,18
Porsche,Boxster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.7,-1,18.311666666666667,2600,23,16,18
Porsche,Boxster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.7,-1,16.4805,2350,25,17,20
Porsche,Boxster S,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,19.388823529411766,2750,22,15,17
Porsche,Boxster S,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,18.311666666666667,2600,23,16,18
Toyota,MR2,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.73375,1550,27,22,24
Aston Martin,DB-7 Vantage Coupe,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.9,-1,27.4675,3900,17,10,12
Aston Martin,DB-7 Vantage Coupe,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.9,-1,27.4675,3900,17,10,12
Aston Martin,DB-7 Vantage Volante,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.9,-1,27.4675,3900,17,10,12
Aston Martin,DB-7 Vantage Volante,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.9,-1,27.4675,3900,17,10,12
Audi,TT Coupe,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,2050,29,19,23
Audi,TT Coupe quattro,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,15.695714285714288,2250,26,18,21
BMW,323i Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,18.311666666666667,2600,22,16,18
BMW,323i Convertible,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,17.347894736842107,2500,23,17,19
BMW,M Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.347894736842107,2500,23,17,19
Jaguar,XK8 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,18.311666666666667,2600,22,15,18
Jaguar,XKR Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,19.388823529411766,2750,20,14,17
Mercedes-Benz,CLK320 (Cabriolet),2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.4805,2350,25,17,20
Mercedes-Benz,CLK430 (Cabriolet),2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,18.311666666666667,2600,22,15,18
Porsche,911 Carrera,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,18.311666666666667,2600,23,15,18
Porsche,911 Carrera,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,19.388823529411766,2750,22,15,17
Porsche,911 Carrera,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.4,-1,18.311666666666667,2600,23,15,18
Porsche,911 Carrera,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.4,-1,19.388823529411766,2750,22,15,17
Qvale,Detomaso Mangusta,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,15.695714285714288,1800,28,17,21
Acura,Integra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,1650,28,21,23
Acura,Integra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.73375,1550,28,22,24
Acura,Integra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.73375,1950,28,22,24
Bentley,Azure,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,27.4675,3900,15,10,12
Bentley,Continental SC,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,27.4675,3900,15,10,12
Bentley,Continental T,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,27.4675,3900,15,10,12
BMW,323ci,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,17.347894736842107,2500,25,17,19
BMW,323ci,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,2250,26,18,21
BMW,328ci,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,25,16,19
BMW,328ci,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.695714285714288,2250,26,18,21
Chevrolet,Camaro,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,16.4805,1900,26,17,20
Chevrolet,Camaro,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,28,17,21
Chevrolet,Camaro,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,18.311666666666667,2600,23,15,18
Chevrolet,Camaro,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,17.347894736842107,2500,25,16,19
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.98227272727273,1700,26,20,22
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.330869565217393,1650,29,20,23
Chevrolet,Cavalier,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.73375,1550,31,21,24
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.330869565217393,1650,28,19,23
Chevrolet,Cavalier,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.73375,1550,30,20,24
Chevrolet,Metro,2000,Manual,2WD,2000-2010,Gas,Car,3.0,1.0,-1,9.155833333333334,1050,41,32,36
Chevrolet,Metro,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,11.771785714285713,1350,31,26,28
Chevrolet,Metro,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,9.694411764705883,1100,38,31,34
Ferrari,456 MGT/MGA,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,29.96454545454546,4300,14,9,11
Ferrari,456 MGT/MGA,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.5,-1,29.96454545454546,4300,15,9,11
Ford,Escort ZX2,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.1844,1500,30,22,25
Ford,Escort ZX2,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.1844,1500,30,22,25
Ford,Mustang,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,16.4805,1900,25,18,20
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,26,17,21
Ford,Mustang,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,18.311666666666667,2100,22,16,18
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,18.311666666666667,2100,23,15,18
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,18.311666666666667,2600,23,15,18
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.4,-1,23.543571428571425,3350,17,12,14
Honda,Civic,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.207777777777778,1400,32,24,27
Honda,Civic,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.207777777777778,1400,32,24,27
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,10.987,1250,33,27,30
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.771785714285713,1350,32,25,28
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,13.1844,1900,29,22,25
Honda,Civic HX,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,10.63258064516129,1200,35,29,31
Honda,Civic HX,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.988181818181818,1150,39,30,33
Honda,Prelude,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,15.695714285714288,2250,24,19,21
Honda,Prelude,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.98227272727273,2150,25,20,22
Hyundai,Tiburon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,1700,28,19,22
Hyundai,Tiburon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,29,21,24
Jaguar,XK8,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,18.311666666666667,2600,23,16,18
Jaguar,XKR,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,19.388823529411766,2750,21,15,17
Lexus,SC,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,17.347894736842107,2500,22,17,19
Lexus,SC,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,17.347894736842107,2500,23,16,19
Mercedes-Benz,CLK320,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,15.695714285714288,2250,26,18,21
Mercedes-Benz,CLK430,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,17.347894736842107,2500,23,16,19
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,15.695714285714288,1800,25,18,21
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,15.695714285714288,1800,25,18,21
Mitsubishi,Eclipse,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.330869565217393,1650,28,20,23
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,2350,25,18,20
Mitsubishi,Eclipse,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.695714285714288,2250,26,18,21
Mitsubishi,Mirage,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.771785714285713,1350,32,25,28
Mitsubishi,Mirage,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,10.63258064516129,1200,36,28,31
Mitsubishi,Mirage,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.1844,1500,30,22,25
Mitsubishi,Mirage,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.207777777777778,1400,33,24,27
Pontiac,Firebird/Trans Am,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,16.4805,1900,26,17,20
Pontiac,Firebird/Trans Am,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,15.695714285714288,1800,28,17,21
Pontiac,Firebird/Trans Am,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,18.311666666666667,2600,23,15,18
Pontiac,Firebird/Trans Am,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,17.347894736842107,2500,25,16,19
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.98227272727273,1700,26,20,22
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.330869565217393,1650,29,20,23
Pontiac,Sunfire,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.73375,1550,31,21,24
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.330869565217393,1650,28,19,23
Pontiac,Sunfire,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,13.73375,1550,30,20,24
Rolls-Royce,Corniche,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,27.4675,3900,15,10,12
Saab,9-3 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,16.4805,2350,24,17,20
Saab,9-3 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,16.4805,1900,23,18,20
Saab,9-3 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,1700,27,19,22
Saab,9-3 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,2150,27,19,22
Saab,9-3 Viggen Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,15.695714285714288,2250,27,18,21
Saturn,SC,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.9,-1,12.207777777777778,1400,33,23,27
Saturn,SC,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.9,-1,12.677307692307693,1450,32,22,26
Saturn,SC,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.36586206896552,1300,36,25,29
Saturn,SC,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.9,-1,12.207777777777778,1400,34,23,27
Subaru,Impreza AWD,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.5,-1,14.98227272727273,1700,26,20,22
Subaru,Impreza AWD,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.5,-1,15.695714285714288,1800,25,18,21
Suzuki,Esteem,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.677307692307693,1450,31,24,26
Suzuki,Esteem,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.36586206896552,1300,33,26,29
Suzuki,Esteem,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.677307692307693,1450,30,23,26
Suzuki,Esteem,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.207777777777778,1400,32,24,27
Suzuki,Swift,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,11.771785714285713,1350,31,26,28
Suzuki,Swift,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,9.694411764705883,1100,38,31,34
Toyota,Camry Solara Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.330869565217393,1650,28,20,23
Toyota,Camry Solara Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,17.347894736842107,1950,24,17,19
Toyota,Celica,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.677307692307693,1450,31,23,26
Toyota,Celica,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,2050,27,20,23
Toyota,Celica,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.207777777777778,1400,31,24,27
Toyota,Celica,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,2050,29,20,23
Volkswagen,Cabrio,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,1700,26,19,22
Volkswagen,Cabrio,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,28,21,24
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.98227272727273,2150,25,19,22
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.73375,1950,28,22,24
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,11.581363636363635,1300,40,29,33
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,10.0575,1150,44,35,38
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,1700,26,19,22
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,28,21,24
Volvo,C70 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,5.0,2.3,-1,17.347894736842107,2500,23,17,19
Volvo,C70 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,5.0,2.3,-1,16.4805,2350,24,18,20
Volvo,C70 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,5.0,2.4,-1,17.347894736842107,2500,24,17,19
Audi,A4,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,15.695714285714288,2250,28,18,21
Audi,A4,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.73375,1950,29,21,24
Audi,A4,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,16,19
Audi,A4,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.695714285714288,2250,26,18,21
Audi,A4 quattro,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,16.4805,2350,26,17,20
Audi,A4 quattro,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.98227272727273,2150,26,19,22
Audi,A4 quattro,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,18.311666666666667,2600,23,16,18
Audi,A4 quattro,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,23,16,19
Audi,S4,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.7,-1,18.311666666666667,2600,22,15,18
Audi,S4,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.7,-1,18.311666666666667,2600,22,15,18
Bentley,Continental R,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,27.4675,3900,15,10,12
BMW,323i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.4805,2350,26,17,20
BMW,323i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,17.347894736842107,2500,25,17,19
BMW,323i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,2250,26,18,21
BMW,328i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,16.4805,2350,25,17,20
BMW,328i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,25,16,19
BMW,328i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.695714285714288,2250,26,18,21
BMW,528i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,16,19
BMW,528i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,16,19
BMW,528i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.695714285714288,2250,26,18,21
BMW,540i,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.311666666666667,2600,22,16,18
BMW,540i,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,20.600625,2950,19,14,16
BMW,540i,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.4,-1,20.600625,2950,21,14,16
BMW,M5,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.9,-1,21.974,3150,19,12,15
Chevrolet,Prizm,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.677307692307693,1450,29,24,26
Chevrolet,Prizm,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.771785714285713,1350,34,25,28
Chevrolet,Prizm,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,10.987,1250,34,27,30
Chrysler,Sebring,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.4805,1900,25,17,20
Chrysler,Sebring Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.4805,1900,25,17,20
Chrysler,Sebring Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,17.347894736842107,1950,24,16,19
Daewoo,Lanos,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,13.1844,1500,33,21,25
Daewoo,Lanos,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,12.677307692307693,1450,32,23,26
Daewoo,Lanos,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,13.73375,1550,31,20,24
Daewoo,Lanos,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.677307692307693,1450,33,23,26
Daewoo,Nubira,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,1700,28,19,22
Daewoo,Nubira,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.330869565217393,1650,28,20,23
Dodge,Avenger,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.4805,1900,25,17,20
Dodge,Neon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,28,22,24
Dodge,Neon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.207777777777778,1400,31,24,27
Ford,Contour,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.330869565217393,1650,28,19,23
Ford,Contour,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.1844,1500,31,21,25
Ford,Contour,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,26,18,21
Ford,Contour,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,27,18,21
Ford,Escort,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.677307692307693,1450,31,22,26
Ford,Escort,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.207777777777778,1400,32,24,27
Ford,Focus,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.677307692307693,1450,30,23,26
Ford,Focus,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,28,22,24
Ford,Focus,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.207777777777778,1400,32,24,27
Ford,Focus,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.1844,1500,31,22,25
Hyundai,Accent/Brio,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,12.677307692307693,1450,31,23,26
Hyundai,Accent/Brio,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.771785714285713,1350,33,24,28
Hyundai,Elantra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.98227272727273,1700,28,19,22
Hyundai,Elantra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,30,21,24
Infiniti,G20,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.330869565217393,1650,28,20,23
Infiniti,G20,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.73375,1550,29,21,24
Jaguar,XJ8,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,18.311666666666667,2600,22,15,18
Jaguar,XJR,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,20.600625,2950,20,14,16
Kia,Sephia/Spectra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,1650,29,20,23
Kia,Sephia/Spectra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.98227272727273,1700,26,20,22
Lexus,ES 300,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.4805,1900,24,17,20
Mercury,Cougar,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.1844,1500,31,21,25
Mercury,Cougar,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,26,18,21
Mercury,Cougar,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,26,18,21
Mercury,Mystique,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.330869565217393,1650,28,19,23
Mercury,Mystique,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.1844,1500,31,21,25
Mercury,Mystique,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,26,18,21
Mercury,Mystique,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.695714285714288,1800,26,18,21
