make,model,year,cylinders,trany,displ,VClass,co2,barrels08,fuelCost08,fuelType,highway08,city08,comb08
Aston Martin,DB-7 Vantage Coupe,2000,12.0,Manual 6-spd,5.9,Minicompact Cars,-1,27.4675,3900,Premium,17,10,12
Aston Martin,DB-7 Vantage Volante,2000,12.0,Automatic 5-spd,5.9,Minicompact Cars,-1,27.4675,3900,Premium,17,10,12
Aston Martin,DB-7 Vantage Volante,2000,12.0,Manual 6-spd,5.9,Minicompact Cars,-1,27.4675,3900,Premium,17,10,12
Audi,TT Coupe,2000,4.0,Manual 5-spd,1.8,Minicompact Cars,-1,14.330869565217393,2050,Premium,29,19,23
Audi,TT Coupe quattro,2000,4.0,Manual 5-spd,1.8,Minicompact Cars,-1,15.695714285714288,2250,Premium,26,18,21
BMW,323i Convertible,2000,6.0,Automatic 5-spd,2.5,Minicompact Cars,-1,18.311666666666667,2600,Premium,22,16,18
BMW,323i Convertible,2000,6.0,Manual 5-spd,2.5,Minicompact Cars,-1,17.347894736842107,2500,Premium,23,17,19
BMW,M Roadster,2000,6.0,Manual 5-spd,3.2,Minicompact Cars,-1,17.347894736842107,2500,Premium,23,17,19
Jaguar,XK8 Convertible,2000,8.0,Automatic 5-spd,4.0,Minicompact Cars,-1,18.311666666666667,2600,Premium,22,15,18
Jaguar,XKR Convertible,2000,8.0,Automatic 5-spd,4.0,Minicompact Cars,-1,19.388823529411766,2750,Premium,20,14,17
Mercedes-Benz,CLK320 (Cabriolet),2000,6.0,Automatic 5-spd,3.2,Minicompact Cars,-1,16.4805,2350,Premium,25,17,20
Mercedes-Benz,CLK430 (Cabriolet),2000,8.0,Automatic 5-spd,4.3,Minicompact Cars,-1,18.311666666666667,2600,Premium,22,15,18
Porsche,911 Carrera,2000,6.0,Automatic 5-spd,3.4,Minicompact Cars,-1,18.311666666666667,2600,Premium,23,15,18
Porsche,911 Carrera,2000,6.0,Automatic 5-spd,3.4,Minicompact Cars,-1,19.388823529411766,2750,Premium,22,15,17
Porsche,911 Carrera,2000,6.0,Manual 6-spd,3.4,Minicompact Cars,-1,18.311666666666667,2600,Premium,23,15,18
Porsche,911 Carrera,2000,6.0,Manual 6-spd,3.4,Minicompact Cars,-1,19.388823529411766,2750,Premium,22,15,17
Qvale,Detomaso Mangusta,2000,8.0,Manual 5-spd,4.6,Minicompact Cars,-1,15.695714285714288,1800,Regular,28,17,21
Acura,Integra,2000,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1,14.330869565217393,1650,Regular,28,21,23
Acura,Integra,2000,4.0,Manual 5-spd,1.8,Subcompact Cars,-1,13.73375,1550,Regular,28,22,24
Acura,Integra,2000,4.0,Manual 5-spd,1.8,Subcompact Cars,-1,13.73375,1950,Premium,28,22,24
Bentley,Azure,2000,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1,27.4675,3900,Premium,15,10,12
Bentley,Continental SC,2000,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1,27.4675,3900,Premium,15,10,12
Bentley,Continental T,2000,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1,27.4675,3900,Premium,15,10,12
BMW,323ci,2000,6.0,Automatic 5-spd,2.5,Subcompact Cars,-1,17.347894736842107,2500,Premium,25,17,19
BMW,323ci,2000,6.0,Manual 5-spd,2.5,Subcompact Cars,-1,15.695714285714288,2250,Premium,26,18,21
BMW,328ci,2000,6.0,Automatic 5-spd,2.8,Subcompact Cars,-1,17.347894736842107,2500,Premium,25,16,19
BMW,328ci,2000,6.0,Manual 5-spd,2.8,Subcompact Cars,-1,15.695714285714288,2250,Premium,26,18,21
Chevrolet,Camaro,2000,6.0,Automatic 4-spd,3.8,Subcompact Cars,-1,16.4805,1900,Regular,26,17,20
Chevrolet,Camaro,2000,6.0,Manual 5-spd,3.8,Subcompact Cars,-1,15.695714285714288,1800,Regular,28,17,21
Chevrolet,Camaro,2000,8.0,Automatic 4-spd,5.7,Subcompact Cars,-1,18.311666666666667,2600,Premium,23,15,18
Chevrolet,Camaro,2000,8.0,Manual 6-spd,5.7,Subcompact Cars,-1,17.347894736842107,2500,Premium,25,16,19
Chevrolet,Cavalier,2000,4.0,Automatic 3-spd,2.2,Subcompact Cars,-1,14.98227272727273,1700,Regular,26,20,22
Chevrolet,Cavalier,2000,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1,14.330869565217393,1650,Regular,29,20,23
Chevrolet,Cavalier,2000,4.0,Manual 5-spd,2.2,Subcompact Cars,-1,13.73375,1550,Regular,31,21,24
Chevrolet,Cavalier,2000,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1,14.330869565217393,1650,Regular,28,19,23
Chevrolet,Cavalier,2000,4.0,Manual 5-spd,2.4,Subcompact Cars,-1,13.73375,1550,Regular,30,20,24
Chevrolet,Metro,2000,3.0,Manual 5-spd,1.0,Subcompact Cars,-1,9.155833333333334,1050,Regular,41,32,36
Chevrolet,Metro,2000,4.0,Automatic 3-spd,1.3,Subcompact Cars,-1,11.771785714285713,1350,Regular,31,26,28
Chevrolet,Metro,2000,4.0,Manual 5-spd,1.3,Subcompact Cars,-1,9.694411764705883,1100,Regular,38,31,34
Ferrari,456 MGT/MGA,2000,12.0,Automatic 4-spd,5.5,Subcompact Cars,-1,29.96454545454546,4300,Premium,14,9,11
Ferrari,456 MGT/MGA,2000,12.0,Manual 6-spd,5.5,Subcompact Cars,-1,29.96454545454546,4300,Premium,15,9,11
Ford,Escort ZX2,2000,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1,13.1844,1500,Regular,30,22,25
Ford,Escort ZX2,2000,4.0,Manual 5-spd,2.0,Subcompact Cars,-1,13.1844,1500,Regular,30,22,25
Ford,Mustang,2000,6.0,Automatic 4-spd,3.8,Subcompact Cars,-1,16.4805,1900,Regular,25,18,20
Ford,Mustang,2000,6.0,Manual 5-spd,3.8,Subcompact Cars,-1,15.695714285714288,1800,Regular,26,17,21
Ford,Mustang,2000,8.0,Automatic 4-spd,4.6,Subcompact Cars,-1,18.311666666666667,2100,Regular,22,16,18
Ford,Mustang,2000,8.0,Manual 5-spd,4.6,Subcompact Cars,-1,18.311666666666667,2100,Regular,23,15,18
Ford,Mustang,2000,8.0,Manual 5-spd,4.6,Subcompact Cars,-1,18.311666666666667,2600,Premium,23,15,18
Ford,Mustang,2000,8.0,Manual 6-spd,5.4,Subcompact Cars,-1,23.543571428571425,3350,Premium,17,12,14
Honda,Civic,2000,4.0,Automatic 4-spd,1.6,Subcompact Cars,-1,12.207777777777778,1400,Regular,32,24,27
Honda,Civic,2000,4.0,Automatic 4-spd,1.6,Subcompact Cars,-1,12.207777777777778,1400,Regular,32,24,27
Honda,Civic,2000,4.0,Manual 5-spd,1.6,Subcompact Cars,-1,10.987,1250,Regular,33,27,30
Honda,Civic,2000,4.0,Manual 5-spd,1.6,Subcompact Cars,-1,11.771785714285713,1350,Regular,32,25,28
Honda,Civic,2000,4.0,Manual 5-spd,1.6,Subcompact Cars,-1,13.1844,1900,Premium,29,22,25
Honda,Civic HX,2000,4.0,Automatic (variable gear ratios),1.6,Subcompact Cars,-1,10.63258064516129,1200,Regular,35,29,31
Honda,Civic HX,2000,4.0,Manual 5-spd,1.6,Subcompact Cars,-1,9.988181818181818,1150,Regular,39,30,33
Honda,Prelude,2000,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1,15.695714285714288,2250,Premium,24,19,21
Honda,Prelude,2000,4.0,Manual 5-spd,2.2,Subcompact Cars,-1,14.98227272727273,2150,Premium,25,20,22
Hyundai,Tiburon,2000,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1,14.98227272727273,1700,Regular,28,19,22
Hyundai,Tiburon,2000,4.0,Manual 5-spd,2.0,Subcompact Cars,-1,13.73375,1550,Regular,29,21,24
Jaguar,XK8,2000,8.0,Automatic 5-spd,4.0,Subcompact Cars,-1,18.311666666666667,2600,Premium,23,16,18
Jaguar,XKR,2000,8.0,Automatic 5-spd,4.0,Subcompact Cars,-1,19.388823529411766,2750,Premium,21,15,17
Lexus,SC,2000,6.0,Automatic 4-spd,3.0,Subcompact Cars,-1,17.347894736842107,2500,Premium,22,17,19
Lexus,SC,2000,8.0,Automatic 5-spd,4.0,Subcompact Cars,-1,17.347894736842107,2500,Premium,23,16,19
Mercedes-Benz,CLK320,2000,6.0,Automatic 5-spd,3.2,Subcompact Cars,-1,15.695714285714288,2250,Premium,26,18,21
Mercedes-Benz,CLK430,2000,8.0,Automatic 5-spd,4.3,Subcompact Cars,-1,17.347894736842107,2500,Premium,23,16,19
Mitsubishi,Eclipse,2000,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1,15.695714285714288,1800,Regular,25,18,21
Mitsubishi,Eclipse,2000,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1,15.695714285714288,1800,Regular,25,18,21
Mitsubishi,Eclipse,2000,4.0,Manual 5-spd,2.4,Subcompact Cars,-1,14.330869565217393,1650,Regular,28,20,23
Mitsubishi,Eclipse,2000,6.0,Automatic 4-spd,3.0,Subcompact Cars,-1,16.4805,2350,Premium,25,18,20
Mitsubishi,Eclipse,2000,6.0,Manual 5-spd,3.0,Subcompact Cars,-1,15.695714285714288,2250,Premium,26,18,21
Mitsubishi,Mirage,2000,4.0,Automatic 4-spd,1.5,Subcompact Cars,-1,11.771785714285713,1350,Regular,32,25,28
Mitsubishi,Mirage,2000,4.0,Manual 5-spd,1.5,Subcompact Cars,-1,10.63258064516129,1200,Regular,36,28,31
Mitsubishi,Mirage,2000,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1,13.1844,1500,Regular,30,22,25
Mitsubishi,Mirage,2000,4.0,Manual 5-spd,1.8,Subcompact Cars,-1,12.207777777777778,1400,Regular,33,24,27
Pontiac,Firebird/Trans Am,2000,6.0,Automatic 4-spd,3.8,Subcompact Cars,-1,16.4805,1900,Regular,26,17,20
Pontiac,Firebird/Trans Am,2000,6.0,Manual 5-spd,3.8,Subcompact Cars,-1,15.695714285714288,1800,Regular,28,17,21
Pontiac,Firebird/Trans Am,2000,8.0,Automatic 4-spd,5.7,Subcompact Cars,-1,18.311666666666667,2600,Premium,23,15,18
Pontiac,Firebird/Trans Am,2000,8.0,Manual 6-spd,5.7,Subcompact Cars,-1,17.347894736842107,2500,Premium,25,16,19
Pontiac,Sunfire,2000,4.0,Automatic 3-spd,2.2,Subcompact Cars,-1,14.98227272727273,1700,Regular,26,20,22
Pontiac,Sunfire,2000,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1,14.330869565217393,1650,Regular,29,20,23
Pontiac,Sunfire,2000,4.0,Manual 5-spd,2.2,Subcompact Cars,-1,13.73375,1550,Regular,31,21,24
Pontiac,Sunfire,2000,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1,14.330869565217393,1650,Regular,28,19,23
Pontiac,Sunfire,2000,4.0,Manual 5-spd,2.4,Subcompact Cars,-1,13.73375,1550,Regular,30,20,24
Rolls-Royce,Corniche,2000,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1,27.4675,3900,Premium,15,10,12
Saab,9-3 Convertible,2000,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1,16.4805,2350,Premium,24,17,20
Saab,9-3 Convertible,2000,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1,16.4805,1900,Regular,23,18,20
Saab,9-3 Convertible,2000,4.0,Manual 5-spd,2.0,Subcompact Cars,-1,14.98227272727273,1700,Regular,27,19,22
Saab,9-3 Convertible,2000,4.0,Manual 5-spd,2.0,Subcompact Cars,-1,14.98227272727273,2150,Premium,27,19,22
Saab,9-3 Viggen Convertible,2000,4.0,Manual 5-spd,2.3,Subcompact Cars,-1,15.695714285714288,2250,Premium,27,18,21
Saturn,SC,2000,4.0,Automatic 4-spd,1.9,Subcompact Cars,-1,12.207777777777778,1400,Regular,33,23,27
Saturn,SC,2000,4.0,Automatic 4-spd,1.9,Subcompact Cars,-1,12.677307692307693,1450,Regular,32,22,26
Saturn,SC,2000,4.0,Manual 5-spd,1.9,Subcompact Cars,-1,11.36586206896552,1300,Regular,36,25,29
Saturn,SC,2000,4.0,Manual 5-spd,1.9,Subcompact Cars,-1,12.207777777777778,1400,Regular,34,23,27
Subaru,Impreza AWD,2000,4.0,Automatic 4-spd,2.5,Subcompact Cars,-1,14.98227272727273,1700,Regular,26,20,22
Subaru,Impreza AWD,2000,4.0,Manual 5-spd,2.5,Subcompact Cars,-1,15.695714285714288,1800,Regular,25,18,21
Suzuki,Esteem,2000,4.0,Automatic 4-spd,1.6,Subcompact Cars,-1,12.677307692307693,1450,Regular,31,24,26
Suzuki,Esteem,2000,4.0,Manual 5-spd,1.6,Subcompact Cars,-1,11.36586206896552,1300,Regular,33,26,29
Suzuki,Esteem,2000,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1,12.677307692307693,1450,Regular,30,23,26
Suzuki,Esteem,2000,4.0,Manual 5-spd,1.8,Subcompact Cars,-1,12.207777777777778,1400,Regular,32,24,27
Suzuki,Swift,2000,4.0,Automatic 3-spd,1.3,Subcompact Cars,-1,11.771785714285713,1350,Regular,31,26,28
Suzuki,Swift,2000,4.0,Manual 5-spd,1.3,Subcompact Cars,-1,9.694411764705883,1100,Regular,38,31,34
Toyota,Camry Solara Convertible,2000,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1,14.330869565217393,1650,Regular,28,20,23
Toyota,Camry Solara Convertible,2000,6.0,Automatic 4-spd,3.0,Subcompact Cars,-1,17.347894736842107,1950,Regular,24,17,19
Toyota,Celica,2000,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1,12.677307692307693,1450,Regular,31,23,26
Toyota,Celica,2000,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1,14.330869565217393,2050,Premium,27,20,23
Toyota,Celica,2000,4.0,Manual 5-spd,1.8,Subcompact Cars,-1,12.207777777777778,1400,Regular,31,24,27
Toyota,Celica,2000,4.0,Manual 6-spd,1.8,Subcompact Cars,-1,14.330869565217393,2050,Premium,29,20,23
Volkswagen,Cabrio,2000,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1,14.98227272727273,1700,Regular,26,19,22
Volkswagen,Cabrio,2000,4.0,Manual 5-spd,2.0,Subcompact Cars,-1,13.73375,1550,Regular,28,21,24
Volkswagen,New Beetle,2000,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1,14.98227272727273,2150,Premium,25,19,22
Volkswagen,New Beetle,2000,4.0,Manual 5-spd,1.8,Subcompact Cars,-1,13.73375,1950,Premium,28,22,24
Volkswagen,New Beetle,2000,4.0,Automatic 4-spd,1.9,Subcompact Cars,-1,11.581363636363635,1300,Diesel,40,29,33
Volkswagen,New Beetle,2000,4.0,Manual 5-spd,1.9,Subcompact Cars,-1,10.0575,1150,Diesel,44,35,38
Volkswagen,New Beetle,2000,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1,14.98227272727273,1700,Regular,26,19,22
Volkswagen,New Beetle,2000,4.0,Manual 5-spd,2.0,Subcompact Cars,-1,13.73375,1550,Regular,28,21,24
Volvo,C70 Convertible,2000,5.0,Automatic 4-spd,2.3,Subcompact Cars,-1,17.347894736842107,2500,Premium,23,17,19
Volvo,C70 Convertible,2000,5.0,Manual 5-spd,2.3,Subcompact Cars,-1,16.4805,2350,Premium,24,18,20
Volvo,C70 Convertible,2000,5.0,Automatic 4-spd,2.4,Subcompact Cars,-1,17.347894736842107,2500,Premium,24,17,19
Audi,A4,2000,4.0,Automatic 5-spd,1.8,Compact Cars,-1,15.695714285714288,2250,Premium,28,18,21
Audi,A4,2000,4.0,Manual 5-spd,1.8,Compact Cars,-1,13.73375,1950,Premium,29,21,24
Audi,A4,2000,6.0,Automatic 5-spd,2.8,Compact Cars,-1,17.347894736842107,2500,Premium,24,16,19
Audi,A4,2000,6.0,Manual 5-spd,2.8,Compact Cars,-1,15.695714285714288,2250,Premium,26,18,21
Audi,A4 quattro,2000,4.0,Automatic 5-spd,1.8,Compact Cars,-1,16.4805,2350,Premium,26,17,20
Audi,A4 quattro,2000,4.0,Manual 5-spd,1.8,Compact Cars,-1,14.98227272727273,2150,Premium,26,19,22
Audi,A4 quattro,2000,6.0,Automatic 5-spd,2.8,Compact Cars,-1,18.311666666666667,2600,Premium,23,16,18
Audi,A4 quattro,2000,6.0,Manual 5-spd,2.8,Compact Cars,-1,17.347894736842107,2500,Premium,23,16,19
Audi,S4,2000,6.0,Automatic 5-spd,2.7,Compact Cars,-1,18.311666666666667,2600,Premium,22,15,18
Audi,S4,2000,6.0,Manual 6-spd,2.7,Compact Cars,-1,18.311666666666667,2600,Premium,22,15,18
Bentley,Continental R,2000,8.0,Automatic 4-spd,6.7,Compact Cars,-1,27.4675,3900,Premium,15,10,12
BMW,323i,2000,6.0,Automatic 5-spd,2.5,Compact Cars,-1,16.4805,2350,Premium,26,17,20
BMW,323i,2000,6.0,Automatic 5-spd,2.5,Compact Cars,-1,17.347894736842107,2500,Premium,25,17,19
BMW,323i,2000,6.0,Manual 5-spd,2.5,Compact Cars,-1,15.695714285714288,2250,Premium,26,18,21
BMW,328i,2000,6.0,Automatic 5-spd,2.8,Compact Cars,-1,16.4805,2350,Premium,25,17,20
BMW,328i,2000,6.0,Automatic 5-spd,2.8,Compact Cars,-1,17.347894736842107,2500,Premium,25,16,19
BMW,328i,2000,6.0,Manual 5-spd,2.8,Compact Cars,-1,15.695714285714288,2250,Premium,26,18,21
BMW,528i,2000,6.0,Automatic 4-spd,2.8,Compact Cars,-1,17.347894736842107,2500,Premium,24,16,19
BMW,528i,2000,6.0,Automatic 5-spd,2.8,Compact Cars,-1,17.347894736842107,2500,Premium,24,16,19
BMW,528i,2000,6.0,Manual 5-spd,2.8,Compact Cars,-1,15.695714285714288,2250,Premium,26,18,21
BMW,540i,2000,8.0,Automatic 5-spd,4.4,Compact Cars,-1,18.311666666666667,2600,Premium,22,16,18
BMW,540i,2000,8.0,Automatic 5-spd,4.4,Compact Cars,-1,20.600625,2950,Premium,19,14,16
BMW,540i,2000,8.0,Manual 6-spd,4.4,Compact Cars,-1,20.600625,2950,Premium,21,14,16
BMW,M5,2000,8.0,Manual 6-spd,4.9,Compact Cars,-1,21.974,3150,Premium,19,12,15
Chevrolet,Prizm,2000,4.0,Automatic 3-spd,1.8,Compact Cars,-1,12.677307692307693,1450,Regular,29,24,26
Chevrolet,Prizm,2000,4.0,Automatic 4-spd,1.8,Compact Cars,-1,11.771785714285713,1350,Regular,34,25,28
Chevrolet,Prizm,2000,4.0,Manual 5-spd,1.8,Compact Cars,-1,10.987,1250,Regular,34,27,30
Chrysler,Sebring,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,16.4805,1900,Regular,25,17,20
Chrysler,Sebring Convertible,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,16.4805,1900,Regular,25,17,20
Chrysler,Sebring Convertible,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,17.347894736842107,1950,Regular,24,16,19
Daewoo,Lanos,2000,4.0,Automatic 4-spd,1.5,Compact Cars,-1,13.1844,1500,Regular,33,21,25
Daewoo,Lanos,2000,4.0,Manual 5-spd,1.5,Compact Cars,-1,12.677307692307693,1450,Regular,32,23,26
Daewoo,Lanos,2000,4.0,Automatic 4-spd,1.6,Compact Cars,-1,13.73375,1550,Regular,31,20,24
Daewoo,Lanos,2000,4.0,Manual 5-spd,1.6,Compact Cars,-1,12.677307692307693,1450,Regular,33,23,26
Daewoo,Nubira,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,14.98227272727273,1700,Regular,28,19,22
Daewoo,Nubira,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,14.330869565217393,1650,Regular,28,20,23
Dodge,Avenger,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,16.4805,1900,Regular,25,17,20
Dodge,Neon,2000,4.0,Automatic 3-spd,2.0,Compact Cars,-1,13.73375,1550,Regular,28,22,24
Dodge,Neon,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,12.207777777777778,1400,Regular,31,24,27
Ford,Contour,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,14.330869565217393,1650,Regular,28,19,23
Ford,Contour,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,13.1844,1500,Regular,31,21,25
Ford,Contour,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,15.695714285714288,1800,Regular,26,18,21
Ford,Contour,2000,6.0,Manual 5-spd,2.5,Compact Cars,-1,15.695714285714288,1800,Regular,27,18,21
Ford,Escort,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,12.677307692307693,1450,Regular,31,22,26
Ford,Escort,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,12.207777777777778,1400,Regular,32,24,27
Ford,Focus,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,12.677307692307693,1450,Regular,30,23,26
Ford,Focus,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,13.73375,1550,Regular,28,22,24
Ford,Focus,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,12.207777777777778,1400,Regular,32,24,27
Ford,Focus,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,13.1844,1500,Regular,31,22,25
Hyundai,Accent/Brio,2000,4.0,Automatic 4-spd,1.5,Compact Cars,-1,12.677307692307693,1450,Regular,31,23,26
Hyundai,Accent/Brio,2000,4.0,Manual 5-spd,1.5,Compact Cars,-1,11.771785714285713,1350,Regular,33,24,28
Hyundai,Elantra,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,14.98227272727273,1700,Regular,28,19,22
Hyundai,Elantra,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,13.73375,1550,Regular,30,21,24
Infiniti,G20,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,14.330869565217393,1650,Regular,28,20,23
Infiniti,G20,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,13.73375,1550,Regular,29,21,24
Jaguar,XJ8,2000,8.0,Automatic 5-spd,4.0,Compact Cars,-1,18.311666666666667,2600,Premium,22,15,18
Jaguar,XJR,2000,8.0,Automatic 5-spd,4.0,Compact Cars,-1,20.600625,2950,Premium,20,14,16
Kia,Sephia/Spectra,2000,4.0,Automatic 4-spd,1.8,Compact Cars,-1,14.330869565217393,1650,Regular,29,20,23
Kia,Sephia/Spectra,2000,4.0,Manual 5-spd,1.8,Compact Cars,-1,14.98227272727273,1700,Regular,26,20,22
Lexus,ES 300,2000,6.0,Automatic 4-spd,3.0,Compact Cars,-1,16.4805,1900,Regular,24,17,20
Mercury,Cougar,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,13.1844,1500,Regular,31,21,25
Mercury,Cougar,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,15.695714285714288,1800,Regular,26,18,21
Mercury,Cougar,2000,6.0,Manual 5-spd,2.5,Compact Cars,-1,15.695714285714288,1800,Regular,26,18,21
Mercury,Mystique,2000,4.0,Automatic 4-spd,2.0,Compact Cars,-1,14.330869565217393,1650,Regular,28,19,23
Mercury,Mystique,2000,4.0,Manual 5-spd,2.0,Compact Cars,-1,13.1844,1500,Regular,31,21,25
Mercury,Mystique,2000,6.0,Automatic 4-spd,2.5,Compact Cars,-1,15.695714285714288,1800,Regular,26,18,21
Mercury,Mystique,2000,6.0,Manual 5-spd,2.5,Compact Cars,-1,15.695714285714288,1800,Regular,26,18,21
